#{"t_start": 1787608358.6492941, "env_id": "CartPole-v1"}
r,l,t
15.0,15,3.443503
12.0,12,3.445276
14.0,14,3.447153
29.0,29,3.451499
51.0,51,3.458372
12.0,12,3.460175
14.0,14,3.462475
10.0,10,3.463672
15.0,15,3.465849
13.0,13,3.467744
23.0,23,3.471015
15.0,15,3.473303
33.0,33,3.477793
15.0,15,3.480177
16.0,16,3.482322
12.0,12,3.484042
13.0,13,3.48575
12.0,12,3.487432
16.0,16,3.489638
13.0,13,3.49138
26.0,26,3.49532
43.0,43,3.501555
47.0,47,3.507808
13.0,13,3.509995
42.0,42,3.515708
25.0,25,3.519348
10.0,10,3.521053
11.0,11,3.522756
29.0,29,3.526831
13.0,13,3.528502
12.0,12,3.530143
20.0,20,3.532933
28.0,28,3.536771
16.0,16,3.538957
16.0,16,3.541251
32.0,32,3.545963
17.0,17,3.548238
18.0,18,3.551057
25.0,25,3.554318
11.0,11,3.555994
13.0,13,3.557719
21.0,21,3.56045
21.0,21,3.563653
12.0,12,3.565428
21.0,21,3.568311
20.0,20,3.571093
21.0,21,3.574097
13.0,13,3.575798
16.0,16,3.578126
19.0,19,3.580896
22.0,22,3.584279
19.0,19,3.58665
14.0,14,3.588823
24.0,24,3.599166
11.0,11,3.601019
10.0,10,3.602626
13.0,13,3.60478
22.0,22,3.608787
29.0,29,3.61293
24.0,24,3.616377
12.0,12,3.618298
57.0,57,3.626415
24.0,24,3.629808
27.0,27,3.633686
10.0,10,3.635354
14.0,14,3.637192
32.0,32,3.64146
14.0,14,3.643761
36.0,36,3.648901
17.0,17,3.651249
38.0,38,3.656484
36.0,36,3.661725
16.0,16,3.664137
15.0,15,3.666489
29.0,29,3.67052
12.0,12,3.672354
21.0,21,3.675629
17.0,17,3.677978
19.0,19,3.680846
30.0,30,3.685129
38.0,38,3.690739
15.0,15,3.692652
13.0,13,3.694819
20.0,20,3.697606
21.0,21,3.700387
26.0,26,3.704027
21.0,21,3.707308
12.0,12,3.709037
16.0,16,3.711299
17.0,17,3.713658
33.0,33,3.718226
15.0,15,3.720446
32.0,32,3.724954
15.0,15,3.727306
24.0,24,3.730797
15.0,15,3.732499
14.0,14,3.734667
27.0,27,3.738585
15.0,15,3.740542
24.0,24,3.743879
56.0,56,3.751931
14.0,14,3.754107
24.0,24,3.757548
15.0,15,3.759693
11.0,11,3.760941
20.0,20,3.763761
78.0,78,3.775116
14.0,14,3.776781
19.0,19,3.7796
33.0,33,3.78437
26.0,26,3.788445
12.0,12,3.790124
33.0,33,3.794747
17.0,17,3.797126
84.0,84,3.8096
16.0,16,3.811978
21.0,21,3.815369
8.0,8,3.816535
22.0,22,3.819655
15.0,15,3.821997
11.0,11,3.82366
23.0,23,3.826672
21.0,21,3.829872
25.0,25,3.833384
17.0,17,3.835571
23.0,23,3.839263
20.0,20,3.842199
25.0,25,3.845928
18.0,18,3.848744
13.0,13,3.850532
26.0,26,3.853959
45.0,45,3.860448
75.0,75,3.870554
84.0,84,3.882663
24.0,24,3.88675
15.0,15,3.917167
34.0,34,3.923441
18.0,18,3.926028
50.0,50,3.933691
87.0,87,3.946567
28.0,28,3.951441
12.0,12,3.953322
65.0,65,3.963598
35.0,35,3.968708
27.0,27,3.972824
41.0,41,3.978958
17.0,17,3.981693
15.0,15,3.983702
36.0,36,3.989113
19.0,19,3.992016
53.0,53,3.999971
14.0,14,4.002494
45.0,45,4.009348
50.0,50,4.016892
29.0,29,4.021545
43.0,43,4.028118
17.0,17,4.030488
21.0,21,4.033471
13.0,13,4.035512
32.0,32,4.040753
26.0,26,4.045093
41.0,41,4.05107
13.0,13,4.053178
26.0,26,4.05767
18.0,18,4.060168
16.0,16,4.062719
20.0,20,4.065945
27.0,27,4.070534
21.0,21,4.073609
23.0,23,4.077301
11.0,11,4.078991
18.0,18,4.08128
106.0,106,4.097698
25.0,25,4.101717
15.0,15,4.104022
28.0,28,4.108106
11.0,11,4.109742
81.0,81,4.121423
14.0,14,4.123378
35.0,35,4.128575
20.0,20,4.13156
82.0,82,4.144216
16.0,16,4.146781
14.0,14,4.148708
106.0,106,4.165366
33.0,33,4.170128
15.0,15,4.172384
27.0,27,4.176072
51.0,51,4.183697
15.0,15,4.186091
10.0,10,4.187312
28.0,28,4.1911
50.0,50,4.198681
23.0,23,4.202198
12.0,12,4.203933
24.0,24,4.207616
45.0,45,4.213709
28.0,28,4.217721
19.0,19,4.241712
59.0,59,4.251373
22.0,22,4.255137
15.0,15,4.257512
44.0,44,4.264263
47.0,47,4.271089
17.0,17,4.274128
14.0,14,4.276023
104.0,104,4.291293
19.0,19,4.294368
21.0,21,4.297199
38.0,38,4.303289
20.0,20,4.306667
32.0,32,4.312419
40.0,40,4.319887
17.0,17,4.322866
15.0,15,4.325991
31.0,31,4.33188
25.0,25,4.33697
45.0,45,4.344332
49.0,49,4.351868
91.0,91,4.365635
22.0,22,4.368836
14.0,14,4.371111
13.0,13,4.372899
42.0,42,4.379295
20.0,20,4.382466
28.0,28,4.386762
16.0,16,4.389094
50.0,50,4.395993
39.0,39,4.402094
31.0,31,4.406915
13.0,13,4.408865
157.0,157,4.431923
27.0,27,4.436396
37.0,37,4.441982
25.0,25,4.445666
20.0,20,4.448591
60.0,60,4.458019
26.0,26,4.461884
18.0,18,4.464294
31.0,31,4.4694
53.0,53,4.477791
19.0,19,4.480707
10.0,10,4.482457
31.0,31,4.487123
20.0,20,4.490983
30.0,30,4.495728
12.0,12,4.497664
31.0,31,4.503037
12.0,12,4.504866
16.0,16,4.507513
22.0,22,4.510624
41.0,41,4.516614
22.0,22,4.520788
62.0,62,4.52997
24.0,24,4.533885
22.0,22,4.537645
9.0,9,4.538881
38.0,38,4.544684
15.0,15,4.546662
17.0,17,4.549453
43.0,43,4.598682
15.0,15,4.601425
15.0,15,4.604177
55.0,55,4.612585
16.0,16,4.615085
69.0,69,4.626043
23.0,23,4.629678
42.0,42,4.636017
56.0,56,4.644257
19.0,19,4.651964
33.0,33,4.656718
19.0,19,4.659702
40.0,40,4.665602
64.0,64,4.67481
19.0,19,4.677747
27.0,27,4.681328
15.0,15,4.683758
35.0,35,4.68901
45.0,45,4.695573
73.0,73,4.706267
39.0,39,4.712156
32.0,32,4.716756
37.0,37,4.722084
87.0,87,4.734965
10.0,10,4.736581
28.0,28,4.740829
14.0,14,4.742616
56.0,56,4.751202
19.0,19,4.753927
29.0,29,4.758046
16.0,16,4.760295
88.0,88,4.773555
18.0,18,4.776611
31.0,31,4.780759
26.0,26,4.784842
114.0,114,4.801185
21.0,21,4.804309
21.0,21,4.807297
75.0,75,4.818738
39.0,39,4.824103
111.0,111,4.840517
42.0,42,4.84696
18.0,18,4.849445
35.0,35,4.855004
43.0,43,4.861347
29.0,29,4.865426
68.0,68,4.875686
32.0,32,4.880332
21.0,21,4.883575
13.0,13,4.885636
24.0,24,4.889225
61.0,61,4.898855
11.0,11,4.900239
51.0,51,5.06367
19.0,19,5.067189
16.0,16,5.069907
23.0,23,5.073837
45.0,45,5.080562
35.0,35,5.08622
78.0,78,5.097961
9.0,9,5.099131
25.0,25,5.10343
171.0,171,5.129565
17.0,17,5.132351
89.0,89,5.146306
37.0,37,5.151866
28.0,28,5.156189
13.0,13,5.157927
44.0,44,5.164642
20.0,20,5.167597
17.0,17,5.170424
33.0,33,5.175301
87.0,87,5.188794
64.0,64,5.198216
11.0,11,5.199527
26.0,26,5.203925
30.0,30,5.20811
11.0,11,5.209958
